,R2 Score,MAE,RMSE,MDAE,Spearman Correlation,Accuracy,Train Accuracy,Precision,Recall,F1-Score
LASSO_log_P_F_10,0.858560794044665,0.07017543859649122,0.3746343246326776,0.0,0.9320212414264205,0.9649122807017544,1.0,0.9674185463659147,0.9649122807017544,0.9649772579597141
Elasticnet_P_F_10,0.858560794044665,0.07017543859649122,0.3746343246326776,0.0,0.9320212414264205,0.9649122807017544,1.0,0.9674185463659147,0.9649122807017544,0.9649772579597141
SVM_T_20,0.836021505376344,0.08196721311475409,0.40488816508945796,0.0,0.918156170097534,0.9590163934426229,1.0,0.9591507659231389,0.9590163934426229,0.9590191471620718
KNN_T_20,0.27849462365591393,0.36065573770491804,0.8493005801304012,0.0,0.6638454212676385,0.819672131147541,1.0,0.8439059158945118,0.819672131147541,0.8169220329297475
LASSO_log_T_20,0.7704301075268817,0.11475409836065574,0.47907013758040845,0.0,0.8863789883464581,0.9426229508196722,0.9774774774774775,0.9437409862527951,0.9426229508196722,0.9426113851979869
Elasticnet_T_20,0.8032258064516129,0.09836065573770492,0.4435327625727437,0.0,0.9021505376344087,0.9508196721311475,0.954954954954955,0.9513308655032611,0.9508196721311475,0.9508196721311475
SVM_T_F_20,0.7376344086021505,0.13114754098360656,0.5121475197315839,0.0,0.8692147124035615,0.9344262295081968,0.990990990990991,0.9348590305257208,0.9344262295081968,0.9343909463387096
KNN_T_F_20,0.27849462365591393,0.36065573770491804,0.8493005801304012,0.0,0.6489513805854031,0.819672131147541,0.8288288288288288,0.8289497387858044,0.819672131147541,0.8186987013561646
LASSO_log_T_F_20,0.6720430107526881,0.16393442622950818,0.5725983343138682,0.0,0.8365591397849462,0.9180327868852459,0.972972972972973,0.9185263528997003,0.9180327868852459,0.9180327868852459
Elasticnet_T_F_20,0.6720430107526881,0.16393442622950818,0.5725983343138682,0.0,0.8365591397849462,0.9180327868852459,0.9594594594594594,0.9185263528997003,0.9180327868852459,0.9180327868852459
SVM_P_20,0.5661846496106786,0.21666666666666667,0.6582805886043833,0.0,0.7837155345701736,0.8916666666666667,0.9811320754716981,0.8924708624708624,0.8916666666666667,0.8915081411283767
KNN_P_20,0.16573971078976646,0.4166666666666667,0.9128709291752769,0.0,0.5904573750613937,0.7916666666666666,1.0,0.8006169241231905,0.7916666666666666,0.7892416225749559
LASSO_log_P_20,0.5328142380422692,0.23333333333333334,0.6831300510639732,0.0,0.7695168559855078,0.8833333333333333,1.0,0.8868401206636501,0.8833333333333333,0.8828438228438228
Elasticnet_P_20,0.5328142380422692,0.23333333333333334,0.6831300510639732,0.0,0.7695168559855078,0.8833333333333333,0.9764150943396226,0.8868401206636501,0.8833333333333333,0.8828438228438228
SVM_P_F_20,0.5995550611790879,0.2,0.6324555320336759,0.0,0.8011253194776194,0.9,1.0,0.901571268237935,0.9,0.8997767857142858
KNN_P_F_20,-0.0344827586206895,0.5166666666666667,1.0165300454651272,0.0,0.5247242464198654,0.7416666666666667,0.7830188679245284,0.7897770811563914,0.7416666666666667,0.7278535781891488
LASSO_log_P_F_20,0.5661846496106786,0.21666666666666667,0.6582805886043833,0.0,0.7876778917084984,0.8916666666666667,1.0,0.8966894003978403,0.8916666666666667,0.8910824754301189
Elasticnet_P_F_20,0.5661846496106786,0.21666666666666667,0.6582805886043833,0.0,0.7876778917084984,0.8916666666666667,0.9575471698113207,0.8966894003978403,0.8916666666666667,0.8910824754301189
SVM_T_30,0.5110507470058032,0.24444444444444444,0.699205898780101,0.0,0.7563929274263396,0.8777777777777778,0.9850299401197605,0.8785852593416554,0.8777777777777778,0.8777475957251237
KNN_T_30,-0.11124830225953808,0.5555555555555556,1.0540925533894598,0.0,0.511998539706808,0.7222222222222222,0.7874251497005988,0.7930020085675181,0.7222222222222222,0.7054663359011185
