,0
551,-0.0386
552,0.0165109
553,-0.0641
554,-0.0153
555,0.146
556,-0.0167332
557,-0.0148419
558,0.1545846
559,-0.035
560,0.2349291
561,0.0696792
562,0.1405265
563,-0.0378183
564,-0.031413
565,-0.012968
566,0.1235309
567,0.1404198
568,-0.0792151
569,0.0142724
570,0.156469
571,-0.0580457
572,-0.0277
573,0.1224468
574,0.1522773
575,0.334143
576,0.0128359
577,0.0159
578,0.2018161
579,0.0949969
580,-0.0050356
581,0.0366815
582,-0.0238742
583,-0.0159882
584,-0.0049492
585,-0.0050356
586,0.2966866
587,0.0901978
588,-0.1099628
589,-0.0186157
590,0.0002325
591,0.1075799
592,-0.0276175
593,0.0050532
594,-0.0710831
595,-0.0425505
596,-0.0408
597,0.0276984
598,0.0729971
599,0.091
600,-0.0679995
601,0.2138069
602,-0.0454441
603,-0.0663759
604,0.0635275
605,-0.0608407
606,-0.0883982
607,0.1061165
608,0.1392636
609,0.0791055
610,0.1508821
611,0.0903323
612,0.0470359
613,0.10318
614,-0.0097022
615,0.1321205
616,0.0094914
617,0.0066646
618,0.1073688
619,0.0162075
620,0.3187808
621,-0.0526174
622,-0.0798925
623,0.1669775
624,0.142
625,-0.0383024
626,-0.0208
627,0.2741241
628,0.694106
629,0.148267
630,-0.0578935
631,-0.1088365
632,0.0107
633,0.156335
634,0.9898006
635,0.0744854
636,-0.0465954
637,1.969787
638,0.0211689
639,-0.0174041
640,0.0934858
641,0.0138262
642,0.1275927
643,-0.0649855
644,0.1515189
645,0.044216
646,0.0217
647,0.0238793
648,0.1304378
649,0.0369942
650,0.22559
651,0.0001599
652,-0.0998639
653,-0.0443397
654,-0.0662386
655,0.0458037
656,0.1115745
657,-0.0099
658,0.1066545
659,-0.0037449
660,0.07
661,-0.0256
662,0.033345
663,-0.022007649999999997
664,0.061769
665,-0.0139261
666,0.1913779
667,-0.0403433
668,-0.0095228
669,0.0116
670,-0.01543
671,0.0331426
672,-0.1155715
673,0.2987109
674,0.004
675,0.0780025
676,-0.0246
677,-0.0191723
678,0.0814102
679,-0.0178
680,0.0656353
681,0.2118414
682,-0.0293156
683,-0.0597
684,-0.0700487
685,0.0
686,-0.0689946
687,0.134349
688,0.0547844
689,-0.2422386
690,0.1459404
691,0.0226628
692,-0.0414
693,0.1329739
694,0.0236901
695,0.0138657
696,0.8042719
697,0.005
698,0.0463
699,0.1166
700,0.0669287
701,-0.1075617
702,-0.0134874
703,0.0573939
704,0.0289514
705,0.029344
706,0.1447996
707,-0.0278
708,0.0819187
709,0.0432121
710,0.0365779
711,0.2391841
712,0.12
713,-0.0699343
714,0.0049323
715,0.1454881
716,0.023
717,0.2588098
718,-0.0708
719,0.4732275
720,0.0268703
721,0.0211388
722,0.1143005
723,-0.1252149
724,0.2718364
725,-0.0462851
726,0.0384685
727,0.0939761
728,0.1635806
729,-0.0048988
730,0.2500817
731,-0.050859650000000006
732,0.041678
733,-0.0458063
734,0.0
735,-0.0099
736,0.0426443
737,-0.0051
738,0.0829818
739,0.0561828
740,0.1148753
741,-0.0028
742,0.0138944
743,0.24
744,0.1088223
745,0.0184209
746,0.0901204
747,-0.0212949
748,0.2221836
749,0.0304837
750,0.2446301
751,0.103951
752,-0.0099254
753,0.0044322
754,0.0107
755,0.1299557
756,-0.004319
757,0.054
758,0.0387324
759,0.3111985
760,0.2584545
761,-0.0080293
762,0.029344
763,-0.0317219
764,0.0612
765,-0.0092778
766,0.2189541
767,0.0498
768,0.0025
769,0.0583408
770,0.0442946
771,0.022403
772,-0.0274807
773,-0.0988367
774,0.035867
775,0.2530861
776,-0.0185
777,0.2150787
778,-0.0081932
779,0.0594757
780,-0.0717907
781,0.0763091
782,-0.0901144
783,0.0017629
784,-0.1006215
785,0.135558
786,0.135718
787,-0.0085772
788,-0.0155
789,0.147795
790,-0.08
791,0.1021761
792,-0.167
793,-0.0249176
794,0.0702256
795,0.0045583
796,0.1648691
797,0.0877121
798,0.3135271
799,0.1624341
800,0.0332769
801,0.068619
802,0.0514
803,-0.1526926
804,-0.0375968
805,-0.1169114
806,0.5618789
807,0.0071319
808,-0.0393471
809,0.1078521
810,0.156703
811,0.0661417
812,0.0548
813,0.0734016
814,-0.086023
815,0.3027155
816,0.3519461
817,0.1398623
818,0.189
819,0.0550469
820,0.0955664
821,-0.0126654
822,0.0045727
823,1.077051
824,0.0466316
825,0.0430687
826,0.0442655
827,0.0323566
828,0.0991535
829,0.1643164
830,0.0464803
831,0.3379171
832,0.0683458
833,0.1817562
834,-0.0472277
835,0.2250179
836,0.0
837,0.0574023
838,0.2310265
839,0.0878806
840,0.1610249
841,0.0778361
842,0.0591853
843,0.1293995
844,0.1834106
845,-0.0682366
846,0.0426563
847,-0.0094603
848,0.3581684
849,0.3251155
850,0.2528102
851,0.052
852,-0.110608
853,0.061
854,0.0244117
855,-0.1818013
856,0.03
857,0.4187249
858,-0.0224
859,-0.0034468
860,-0.1134751
861,0.3277111
862,0.5582922
863,0.1742509
864,0.2805795
865,-0.0167076
866,0.0817761
867,-0.06
868,0.6641327
869,0.0660486
870,0.0035265
871,0.2377915
872,0.0757359
873,-0.019719
874,0.1948
875,-0.1122459
876,0.0695519
877,0.0397
878,-0.0251659
879,0.1031569
880,0.1212314
881,0.5178325
882,0.3358673
883,0.0273405
884,0.1277556
885,0.0389941
886,0.0145483
887,0.0347
888,0.031551
889,0.4515932
890,0.0067
891,0.0054
892,0.0072358
893,0.0289704
894,0.0145
895,0.1065
896,0.0399
897,0.0548517
898,0.2414036
