"","svm_p_f_glpk_30","rxn_id","rxn_name"
"X2972",0.0024390243902439,"2972","'NADP(+) transport, cytoplasm-ER membrane'"
"X2973",0.0024390243902439,"2973","'O2 transport, cytoplasm-ER membrane'"
"X2974",0.0024390243902439,"2974","'NADH transport, cytoplasm-ER membrane'"
"X3212",0.00609756097560976,"3212","'phosphatidyl-L-serine (1-16:1, 2-18:1) transport, ER membrane-mitochondrial membrane'"
"X3220",0.00609756097560976,"3220","'phosphatidylethanolamine (1-16:1, 2-18:1) transport, mitochondrial membrane-ER membrane'"
"X3236",0.00731707317073171,"3236","'diglyceride (1-16:1, 2-18:1) transport, ER membrane-Golgi membrane'"
"X3237",0.00731707317073171,"3237","'diglyceride (1-18:0, 2-18:1) transport, ER membrane-Golgi membrane'"
"X3252",0.00731707317073171,"3252","'1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) transport, ER membrane-Golgi membrane'"
"X3253",0.00731707317073171,"3253","'1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) transport, ER membrane-Golgi membrane'"
"X3378",0.00365853658536586,"3378","'1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1) transport, ER membrane-nucleus'"
"X3435",0.00609756097560976,"3435","'isa phosphatidylcholine for PC (1-16:1, 2-18:1)'"
"X3436",0.00609756097560976,"3436","'isa phosphatidylcholine for PC (1-18:0, 2-18:1)'"
"X3480",0.00121951219512195,"3480","'triglyceride transport, ER membrane-cytoplasm'"
"X3488",0.00853658536585367,"3488","'alpha-keto isovalerate transport'"
"X3489",0.00853658536585367,"3489","'pretyrosine formation'"
"X3492",0.00365853658536586,"3492","'tyrosine degradation'"
"X0",0.0024390243902439,"0",NA
"X73",0.00365853658536586,"73","'6-phosphofructo-2-kinase'"
"X119",0.00487804878048781,"119","'adenine phosphoribosyltransferase'"
"X160",0.0024390243902439,"160","'aldehyde dehydrogenase (isoamyl alcohol, NADP)'"
"X358",0.00365853658536586,"358","'glucosamine-6-phosphate deaminase'"
"X681",0.00365853658536586,"681","'phosphoglucomutase'"
"X717",0.00487804878048781,"717","'purine-nucleoside phosphorylase'"
"X848",0.00121951219512195,"848","'4-aminobutyrate transport'"
"X849",0.00121951219512195,"849","'5-aminolevulinate transport'"
"X854",0.00487804878048781,"854","'adenine transport'"
"X881",0.0024390243902439,"881","'D-galactose transport'"
"X885",0.00609756097560976,"885","'D-mannose transport'"
"X904",0.00609756097560976,"904","'GTP/GDP translocase'"
"X945",0.00975609756097562,"945","'L-proline transport'"
"X976",0.00487804878048781,"976","'pyridoxine symport'"
"X1001",0.0109756097560976,"1001","'zymosterol transport'"
"X1002",0.0109756097560976,"1002","'isa complex sphingolipid'"
"X1109",0.0024390243902439,"1109","'(R)-carnitine exchange'"
"X1136",0.0024390243902439,"1136","'2-methylbutyl acetate exchange'"
"X1139",0.0109756097560976,"1139","'2-oxobutanoate transporter'"
"X1169",0.00121951219512195,"1169","'5''-nucleotidase (XMP)'"
"X1172",0.00121951219512195,"1172","'5-formethyltetrahydrofolate cyclo-ligase'"
